Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 00:00:00,11/02/16 00:00:00,48
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 00:00:00,11/02/16 00:00:00,773094113280
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 00:00:00,11/02/16 00:00:00,206158430208
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/01/16 00:00:00,11/02/16 00:00:00,8731053096
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/01/16 00:00:00,11/02/16 00:00:00,9423844728
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/02/16 00:00:00,11/03/16 00:00:00,48
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/02/16 00:00:00,11/03/16 00:00:00,773094113280
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/02/16 00:00:00,11/03/16 00:00:00,206158430208
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/02/16 00:00:00,11/03/16 00:00:00,8731053096
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/02/16 00:00:00,11/03/16 00:00:00,9423844728
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/03/16 00:00:00,11/04/16 00:00:00,48
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/03/16 00:00:00,11/04/16 00:00:00,206158430208
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/03/16 00:00:00,11/04/16 00:00:00,773094113280
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/03/16 00:00:00,11/04/16 00:00:00,8731053096
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/03/16 00:00:00,11/04/16 00:00:00,9423844728
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/04/16 00:00:00,11/05/16 00:00:00,206158430208
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/04/16 00:00:00,11/05/16 00:00:00,48
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/04/16 00:00:00,11/05/16 00:00:00,773094113280
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/04/16 00:00:00,11/05/16 00:00:00,8731053096
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/04/16 00:00:00,11/05/16 00:00:00,9423844728
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/05/16 00:00:00,11/06/16 00:00:00,48
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/05/16 00:00:00,11/06/16 00:00:00,206158430208
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/05/16 00:00:00,11/06/16 00:00:00,773094113280
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/05/16 00:00:00,11/06/16 00:00:00,8731053096
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/05/16 00:00:00,11/06/16 00:00:00,9423844728
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/06/16 00:00:00,11/07/16 00:00:00,773094113280
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/06/16 00:00:00,11/07/16 00:00:00,48
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/06/16 00:00:00,11/07/16 00:00:00,206158430208
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/06/16 00:00:00,11/07/16 00:00:00,8731053096
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/06/16 00:00:00,11/07/16 00:00:00,9423844728
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/07/16 00:00:00,11/08/16 00:00:00,206158430208
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/07/16 00:00:00,11/08/16 00:00:00,48
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/07/16 00:00:00,11/08/16 00:00:00,773094113280
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/07/16 00:00:00,11/08/16 00:00:00,9423844728
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/07/16 00:00:00,11/08/16 00:00:00,8731053096
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/08/16 00:00:00,11/09/16 00:00:00,206158430208
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/08/16 00:00:00,11/09/16 00:00:00,773094113280
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/08/16 00:00:00,11/09/16 00:00:00,48
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/08/16 00:00:00,11/09/16 00:00:00,9423844728
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/08/16 00:00:00,11/09/16 00:00:00,8731053096
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/09/16 00:00:00,11/10/16 00:00:00,48
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/09/16 00:00:00,11/10/16 00:00:00,206158430208
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/09/16 00:00:00,11/10/16 00:00:00,773094113280
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/09/16 00:00:00,11/10/16 00:00:00,8731053096
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/09/16 00:00:00,11/10/16 00:00:00,9423844728
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/10/16 00:00:00,11/11/16 00:00:00,773094113280
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/10/16 00:00:00,11/11/16 00:00:00,48
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/10/16 00:00:00,11/11/16 00:00:00,206158430208
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/10/16 00:00:00,11/11/16 00:00:00,8731053096
