Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 00:00:00,11/01/16 01:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 00:00:00,11/01/16 01:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 00:00:00,11/01/16 01:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 01:00:00,11/01/16 02:00:00,32212254720
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 01:00:00,11/01/16 02:00:00,2
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 01:00:00,11/01/16 02:00:00,8589934592
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 02:00:00,11/01/16 03:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 02:00:00,11/01/16 03:00:00,32212254720
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 02:00:00,11/01/16 03:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 03:00:00,11/01/16 04:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 03:00:00,11/01/16 04:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 03:00:00,11/01/16 04:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 04:00:00,11/01/16 05:00:00,32212254720
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 04:00:00,11/01/16 05:00:00,2
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 04:00:00,11/01/16 05:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 05:00:00,11/01/16 06:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 05:00:00,11/01/16 06:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 05:00:00,11/01/16 06:00:00,2
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 06:00:00,11/01/16 07:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 06:00:00,11/01/16 07:00:00,32212254720
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 06:00:00,11/01/16 07:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 07:00:00,11/01/16 08:00:00,32212254720
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 07:00:00,11/01/16 08:00:00,2
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 07:00:00,11/01/16 08:00:00,8589934592
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 08:00:00,11/01/16 09:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 08:00:00,11/01/16 09:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 08:00:00,11/01/16 09:00:00,32212254720
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 09:00:00,11/01/16 10:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 09:00:00,11/01/16 10:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 09:00:00,11/01/16 10:00:00,2
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 10:00:00,11/01/16 11:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 10:00:00,11/01/16 11:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 10:00:00,11/01/16 11:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 11:00:00,11/01/16 12:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 11:00:00,11/01/16 12:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 11:00:00,11/01/16 12:00:00,32212254720
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 12:00:00,11/01/16 13:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 12:00:00,11/01/16 13:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 12:00:00,11/01/16 13:00:00,2
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 13:00:00,11/01/16 14:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 13:00:00,11/01/16 14:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 13:00:00,11/01/16 14:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 14:00:00,11/01/16 15:00:00,32212254720
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 14:00:00,11/01/16 15:00:00,2
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 14:00:00,11/01/16 15:00:00,8589934592
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 15:00:00,11/01/16 16:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 15:00:00,11/01/16 16:00:00,32212254720
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 15:00:00,11/01/16 16:00:00,2
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 16:00:00,11/01/16 17:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 16:00:00,11/01/16 17:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 16:00:00,11/01/16 17:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 17:00:00,11/01/16 18:00:00,32212254720
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 17:00:00,11/01/16 18:00:00,2
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 17:00:00,11/01/16 18:00:00,8589934592
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 18:00:00,11/01/16 19:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 18:00:00,11/01/16 19:00:00,32212254720
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 18:00:00,11/01/16 19:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 19:00:00,11/01/16 20:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 19:00:00,11/01/16 20:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 19:00:00,11/01/16 20:00:00,2
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 20:00:00,11/01/16 21:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 20:00:00,11/01/16 21:00:00,2
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 20:00:00,11/01/16 21:00:00,32212254720
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 21:00:00,11/01/16 22:00:00,32212254720
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 21:00:00,11/01/16 22:00:00,8589934592
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 21:00:00,11/01/16 22:00:00,2
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/01/16 22:00:00,11/01/16 23:00:00,8731053096
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 22:00:00,11/01/16 23:00:00,32212254720
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/01/16 22:00:00,11/01/16 23:00:00,9423844728
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 22:00:00,11/01/16 23:00:00,8589934592
