Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/01/16 00:00:00,12/01/16 00:00:00,1440
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,11/01/16 00:00:00,12/01/16 00:00:00,23192823398400
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,11/01/16 00:00:00,12/01/16 00:00:00,6184752906240
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,11/01/16 00:00:00,12/01/16 00:00:00,261931592880
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,11/01/16 00:00:00,12/01/16 00:00:00,282715341840
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/01/16 00:00:00,12/01/16 00:00:00,285
AmazonEC2,RunInstances,USW2-C3DataTransfer-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,1118299
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/01/16 00:00:00,12/01/16 00:00:00,6940
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/01/16 00:00:00,12/01/16 00:00:00,245871
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,21020026
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,10499529
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/01/16 00:00:00,12/01/16 00:00:00,2651068563456
AmazonEC2,RunInstances,USW2-C3DataTransfer-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,9858594
AmazonEC2,RunInstances,USW2-DataTransfer-AZ-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,1170860
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,563724703
AmazonEC2,LoadBalancing:Application,USW2-LoadBalancerUsage,,11/01/16 00:00:00,12/01/16 00:00:00,67
AmazonEC2,LoadBalancing:Application,USW2-LCUUsage,,11/01/16 00:00:00,12/01/16 00:00:00,4.56736666666667
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,441527578
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,134836461
AmazonEC2,RunInstances,USW2-DataTransfer-AZ-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,291564
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,134825635
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,563757850
AmazonEC2,LoadBalancing,USW2-DataTransfer-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,97665398
AmazonEC2,InterZone-Out,USW2-DataTransfer-Regional-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,1387483
AmazonEC2,InterZone-In,USW2-DataTransfer-Regional-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,363510
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/01/16 00:00:00,12/01/16 00:00:00,195
AmazonEC2,LoadBalancing,USW2-TestDataProcessing-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,33340608
AmazonEC2,LoadBalancing,USW2-DataProcessing-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,33340608
AmazonEC2,AssociateAddressVPC,USW2-ElasticIP:IdleAddress,,11/01/16 00:00:00,12/01/16 00:00:00,1
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/01/16 00:00:00,12/01/16 00:00:00,190.083333333333
AmazonEC2,ListMetrics,USW2-CW:Requests,,11/01/16 00:00:00,12/01/16 00:00:00,2
AmazonEC2,NatGateway,USW2-NatGateway-Hours,,11/01/16 00:00:00,12/01/16 00:00:00,191
AmazonEC2,AssociateAddress,USW2-ElasticIP:IdleAddress,,11/01/16 00:00:00,12/01/16 00:00:00,190
AmazonEC2,CreateSnapshot,USW2-EBS:SnapshotUsage,,11/01/16 00:00:00,12/01/16 00:00:00,232431550464
AmazonEC2,PublicIP-In,USW2-SAE1-AWS-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,89
AmazonEC2,NatGateway,USW2-NatGateway-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,5560
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,680
AmazonEC2,PublicIP-In,USW2-APS1-AWS-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,200
AmazonEC2,LoadBalancing-PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,764
AmazonEC2,LoadBalancing-PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,2116
AmazonEC2,PublicIP-In,USW2-DataTransfer-Regional-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,628
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,40
AmazonEC2,LoadBalancing-PublicIP-In,USW2-APN1-AWS-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,628
AmazonEC2,LoadBalancing-PublicIP-Out,USW2-APN1-AWS-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,2048
AmazonEC2,PublicIP-In,USW2-APN1-AWS-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,180
AmazonEC2,PublicIP-Out,USW2-DataTransfer-Regional-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,239
AmazonEC2,PublicIP-In,USW2-APS2-AWS-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,104
AmazonEC2,LoadBalancing-PublicIP-In,USW2-APS1-AWS-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,536
AmazonEC2,LoadBalancing-PublicIP-Out,USW2-DataTransfer-Regional-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,2007
AmazonEC2,LoadBalancing-PublicIP-Out,USW2-APS1-AWS-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,2007
AmazonEC2,LoadBalancing-PublicIP-In,USW2-DataTransfer-Regional-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,483
AmazonEC2,PublicIP-In,USW2-USE2-AWS-In-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,80
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,12/01/16 00:00:00,01/01/17 00:00:00,773094113280
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,12/01/16 00:00:00,01/01/17 00:00:00,206158430208
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,12/01/16 00:00:00,01/01/17 00:00:00,48
AmazonEC2,CreateSnapshot,USW1-EBS:SnapshotUsage,,12/01/16 00:00:00,01/01/17 00:00:00,8731053096
AmazonEC2,CreateSnapshot,EBS:SnapshotUsage,,12/01/16 00:00:00,01/01/17 00:00:00,9423844728
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,12/01/16 00:00:00,01/01/17 00:00:00,1440
AmazonEC2,CreateVolume,USW2-EBS:VolumeUsage,,12/01/16 00:00:00,01/01/17 00:00:00,6176162971648
