Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/01/16 00:00:00,11/02/16 00:00:00,4
AmazonS3,StandardStorage,TimedStorage-ByteHrs,emr-sangmin.thefancy.com,11/01/16 00:00:00,11/02/16 00:00:00,2566187424
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/02/16 00:00:00,11/03/16 00:00:00,4
AmazonS3,StandardStorage,TimedStorage-ByteHrs,emr-sangmin.thefancy.com,11/02/16 00:00:00,11/03/16 00:00:00,2566187424
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/03/16 00:00:00,11/04/16 00:00:00,4
AmazonS3,StandardStorage,TimedStorage-ByteHrs,emr-sangmin.thefancy.com,11/03/16 00:00:00,11/04/16 00:00:00,2566187424
AmazonS3,StandardStorage,TimedStorage-ByteHrs,emr-sangmin.thefancy.com,11/04/16 00:00:00,11/05/16 00:00:00,2566187424
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/04/16 00:00:00,11/05/16 00:00:00,4
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/05/16 00:00:00,11/06/16 00:00:00,4
AmazonS3,StandardStorage,TimedStorage-ByteHrs,emr-sangmin.thefancy.com,11/05/16 00:00:00,11/06/16 00:00:00,2566187424
AmazonS3,StandardStorage,TimedStorage-ByteHrs,emr-sangmin.thefancy.com,11/06/16 00:00:00,11/07/16 00:00:00,2566187424
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/06/16 00:00:00,11/07/16 00:00:00,4
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/07/16 00:00:00,11/08/16 00:00:00,4
AmazonS3,StandardStorage,TimedStorage-ByteHrs,emr-sangmin.thefancy.com,11/07/16 00:00:00,11/08/16 00:00:00,2566187424
AmazonS3,StandardStorage,TimedStorage-ByteHrs,emr-sangmin.thefancy.com,11/08/16 00:00:00,11/09/16 00:00:00,2566187424
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/08/16 00:00:00,11/09/16 00:00:00,4
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/09/16 00:00:00,11/10/16 00:00:00,4
