Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,StandardStorage,StorageObjectCount,emr-sangmin.thefancy.com,11/01/16 00:00:00,12/01/16 00:00:00,120
AmazonS3,StandardStorage,TimedStorage-ByteHrs,emr-sangmin.thefancy.com,11/01/16 00:00:00,12/01/16 00:00:00,76985622720
AmazonS3,ReadLocation,USE1-USW2-AWS-Out-Bytes,dcloudmybucket2,11/01/16 00:00:00,12/01/16 00:00:00,432
AmazonS3,ReadBucketWebsite,USW2-Requests-Tier2,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,3
AmazonS3,ReadACL,USW2-USE1-AWS-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,283667
AmazonS3,ReadLocation,Requests-Tier2,emr-sangmin.thefancy.com,11/01/16 00:00:00,12/01/16 00:00:00,4
AmazonS3,ReadLocation,USW2-DataTransfer-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,3288
AmazonS3,WriteBucketPolicy,USW2-DataTransfer-In-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,624
AmazonS3,PutObject,USW2-Requests-Tier1,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,677
AmazonS3,ReadNotificationProps,USW2-C3DataTransfer-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,345
AmazonS3,ReadBucketLifecycle,USW2-Requests-Tier2,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,3
AmazonS3,ReadCostAllocation,USW2-DataTransfer-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,864
AmazonS3,ListBucket,USW2-DataTransfer-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,118799
AmazonS3,ReadBucketLifecycle,USW2-DataTransfer-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,963
AmazonS3,ReadCostAllocation,USW2-Requests-Tier2,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,3
AmazonS3,ReadBucketReplication,USW2-C3DataTransfer-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,993
AmazonS3,ReadLogProps,USW2-DataTransfer-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,867
AmazonS3,ListBucket,USW2-Requests-Tier1,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,92
AmazonS3,ReadLocation,USW2-Requests-Tier2,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,24
AmazonS3,CreateBucket,DataTransfer-In-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,153
AmazonS3,ReadLocation,Requests-Tier2,spark-euca-001,11/01/16 00:00:00,12/01/16 00:00:00,4
AmazonS3,WriteBucketPolicy,USW2-Requests-Tier1,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,1
AmazonS3,ReadBucketReplication,USW2-Requests-Tier2,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,3
AmazonS3,ReadACL,C3DataTransfer-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,1377
AmazonS3,ListAllMyBuckets,DataTransfer-Out-Bytes,,11/01/16 00:00:00,12/01/16 00:00:00,15281
AmazonS3,ReadACL,USW2-DataTransfer-Out-Bytes,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,1632
AmazonS3,ReadACL,Requests-Tier2,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,3
AmazonS3,ReadLogProps,USW2-Requests-Tier2,spark-billing-test01,11/01/16 00:00:00,12/01/16 00:00:00,3
